City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Anadyr,RU,2022-01-28 21:56:12,64.75,177.4833,-7.01,83,20,0.0
127,Kavaratti,IN,2022-01-28 21:56:13,10.5669,72.642,80.46,73,22,10.22
128,Khandyga,RU,2022-01-28 21:56:13,62.6667,135.6,-40.29,99,90,2.8
129,Lebu,CL,2022-01-28 21:56:13,-37.6167,-73.65,64.38,77,2,5.73
130,Severo-Kurilsk,RU,2022-01-28 21:53:58,50.6789,156.125,23.83,83,100,29.46
131,Lorengau,PG,2022-01-28 21:55:59,-2.0226,147.2712,81.48,82,100,6.22
132,Yarmouth,US,2022-01-28 21:56:14,41.7057,-70.2286,34.14,83,100,5.01
133,Kashi,CN,2022-01-28 21:56:15,39.4547,75.9797,32.25,46,20,8.95
134,Bambous Virieux,MU,2022-01-28 21:56:16,-20.3428,57.7575,79.05,89,40,2.3
135,Tall Kayf,TR,2022-01-28 21:56:16,37.0833,41.0667,39.38,75,99,5.39
136,Nizhniy Kuranakh,RU,2022-01-28 21:57:17,58.8353,125.4869,-4.58,96,100,6.06
137,Rongcheng,CN,2022-01-28 21:57:17,30.634,117.8517,34.3,100,100,4.63
138,Kodiak,US,2022-01-28 21:57:18,57.79,-152.4072,26.11,80,100,14.97
139,Petropavlivka,UA,2022-01-28 21:57:19,48.4564,36.4367,32.07,98,100,11.79
140,Manta,EC,2022-01-28 21:57:19,-0.95,-80.7333,80.38,78,40,8.05
141,Victoria,HK,2022-01-28 21:52:24,22.2855,114.1577,66.38,89,81,1.99
142,Anyksciai,LT,2022-01-28 21:57:20,55.5256,25.1026,28.98,89,100,17.16
143,Hambantota,LK,2022-01-28 21:57:20,6.1241,81.1185,71.94,100,0,3.44
144,Ningxiang,CN,2022-01-28 21:57:21,37.34,111.2052,20.01,56,63,0.43
145,Dalbandin,PK,2022-01-28 21:57:21,28.8947,64.4101,57.31,40,0,4.7
146,Alofi,NU,2022-01-28 21:52:51,-19.0595,-169.9187,84.09,79,86,12.66
147,Bathsheba,BB,2022-01-28 21:57:22,13.2167,-59.5167,79.41,88,40,6.91
148,Jiwani,PK,2022-01-28 21:57:23,25.05,61.7417,70.3,60,0,8.84
149,Roma,US,2022-01-28 21:52:28,43.2128,-75.4557,22.51,74,100,9.22
150,Cape Town,ZA,2022-01-28 21:52:54,-33.9258,18.4232,67.26,71,0,8.01
