City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
192,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
196,Kloulklubed,PW,81.1,moderate rain,7.0419,134.2556,Storyboard Beach Resort
197,Byron Bay,AU,83.05,overcast clouds,-28.65,153.6167,Backpackers Inn
199,Itupeva,BR,75.4,light rain,-23.1531,-47.0578,Itupeva Plaza Hotel
200,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
201,Camacari,BR,83.97,clear sky,-12.6975,-38.3242,Sítio Blasi
204,Gwadar,PK,72.39,clear sky,25.1216,62.3254,Sadaf Resort
208,Sibu,MY,73.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
210,Samarai,PG,80.87,light rain,-10.6167,150.6667,Nuli Sapi
215,Manaus,BR,86.49,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
216,Maumere,ID,78.73,broken clouds,-8.6199,122.2111,Sylvia Hotel
217,Comodoro Rivadavia,AR,87.66,clear sky,-45.8667,-67.5,Austral Hotel
219,Key Biscayne,US,72.01,broken clouds,25.6937,-80.1628,"The Ritz-Carlton Key Biscayne, Miami"
222,Galle,LK,72.45,clear sky,6.0367,80.217,Amangalla
223,San Policarpo,PH,78.21,overcast clouds,12.1791,125.5072,Agapita M. Nicart
225,Padang,ID,75.96,moderate rain,-0.9492,100.3543,Mercure Padang
226,Plettenberg Bay,ZA,73.54,broken clouds,-34.0527,23.3716,Thanda Vista B&B
227,Brownsville,US,75.31,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
229,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
234,Ribas Do Rio Pardo,BR,76.87,light rain,-20.4431,-53.7592,Pousada Avenida
235,Chuy,UY,71.35,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
240,Mogadishu,SO,78.19,overcast clouds,2.0371,45.3438,Hotel Juba
241,Kattivakkam,IN,76.06,clear sky,13.2167,80.3167,Euronova Freezer
242,Bonthe,SL,78.84,broken clouds,7.5264,-12.505,Bonthe Holiday Village
249,Nicoya,CR,89.15,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
252,Souillac,MU,79.36,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
254,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
255,Coahuayana,MX,87.28,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
256,Sao Miguel Do Araguaia,BR,78.94,light rain,-13.275,-50.1628,Hotel Executivo Palace
257,Dargaville,NZ,73.89,overcast clouds,-35.9333,173.8833,Parkview Motel
258,Brownwood,US,72.72,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
260,Tuatapere,NZ,72.82,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
261,Kirakira,SB,81.25,light rain,-10.4544,161.9205,SanBiz Lodge
265,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
266,Arraial Do Cabo,BR,78.76,light rain,-22.9661,-42.0278,Pousada Porto Praia
271,Bani,DO,81.84,few clouds,18.2833,-70.3333,Hospedaje Henriquez
273,Kavieng,PG,79.02,light rain,-2.5744,150.7967,Nusa Island Retreat
277,West Bay,KY,81.07,few clouds,19.3667,-81.4167,Calypso Cove
279,Calatrava,PH,78.82,overcast clouds,10.595,123.4838,Cassandras Beach
285,Geraldton,AU,84.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
286,Bossangoa,CF,74.7,clear sky,6.4926,17.4552,LA PERLE DE BOSTON
296,Sao Joao Da Barra,BR,80.69,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
298,Quatre Cocos,MU,79.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
301,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
302,Cayenne,GF,73.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
303,Mount Isa,AU,80.37,haze,-20.7333,139.5,ibis Styles Mt Isa Verona
308,Trincomalee,LK,77.11,clear sky,8.5711,81.2335,Welcombe Hotel
316,Caravelas,BR,80.01,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
317,Kiunga,PG,71.31,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
319,Port Blair,IN,74.66,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
320,Antofagasta,CL,70.88,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
324,Rocha,UY,72.12,clear sky,-34.4833,-54.3333,Hotel Arrarte
325,Vao,NC,77.76,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
326,Amambai,BR,87.71,broken clouds,-23.1042,-55.2258,Keren Hotel
328,Ahipara,NZ,71.92,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
331,Kang,BW,75.97,overcast clouds,-23.6752,22.7876,Kang Ultra Stop
332,Rubiataba,BR,74.77,light rain,-15.1644,-49.8033,Pousada dos anjos
334,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
336,Kapit,MY,71.69,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
342,Port Macquarie,AU,75.16,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
352,Linguere,SN,86.22,clear sky,15.3953,-15.1193,AYO Casablanca
353,Richards Bay,ZA,77.29,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
357,Ilo,PE,72.45,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
359,Quelimane,MZ,80.55,clear sky,-17.8786,36.8883,Hotel Flamingo
362,Talara,PE,84.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
364,Sobradinho,BR,79.34,scattered clouds,-12.8333,-39.1,Pousada Pau Brasil
366,Anloga,GH,80.82,clear sky,5.7947,0.8973,Pin Drop Hotel
367,Trinidad,BO,80.58,broken clouds,-14.8333,-64.9,Hotel Piesta
381,Bima,ID,74.97,scattered clouds,-8.4667,118.7167,Lambitu Hotel
383,Ouargaye,BF,75.67,overcast clouds,11.5033,0.0572,Résidence le Cotonnier
385,Sur,OM,72.45,clear sky,22.5667,59.5289,Sur Plaza Hotel
387,Tevaitoa,PF,80.53,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
389,Ambunti,PG,72.34,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
390,Tual,ID,81.39,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
393,Labuhan,ID,76.77,overcast clouds,-6.8844,112.2051,DoubleFAG
398,Sambava,MG,75.88,scattered clouds,-14.2667,50.1667,Melrose
408,Kahului,US,80.62,broken clouds,20.8947,-156.47,Maui Seaside Hotel
412,Guaruja,BR,80.89,light rain,-23.9931,-46.2564,Charme Hotel Guarujá
416,Praia,CV,73.94,overcast clouds,14.9215,-23.5087,LT Aparthotel
418,Tabou,CI,79.32,overcast clouds,4.423,-7.3528,hotêl doufoulougou
422,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
429,Tocopilla,CL,70.63,few clouds,-22.092,-70.1979,Hotel Galvarino
430,Limpapa,PH,72.73,overcast clouds,7.1197,121.9106,The Ranch ZC
432,Banda Aceh,ID,77.47,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
435,Payo,ID,71.98,overcast clouds,-3.7508,103.6372,Mess keban agung
438,Alofi,NU,84.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
440,Majene,ID,78.37,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
441,Bundaberg,AU,83.21,broken clouds,-24.85,152.35,Takalvan Motel
442,Auki,SB,81.01,overcast clouds,-8.7676,160.7034,Auki Motel
445,Codajas,BR,82.24,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
448,Wajir,KE,87.31,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
452,Daru,PG,74.88,light rain,-9.0763,143.2092,Daru Lodge
455,Nouadhibou,MR,71.58,overcast clouds,20.931,-17.0347,El Medina
459,Sumenep,ID,77.58,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
462,Lorengau,PG,78.57,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
465,Rio Grande,BR,78.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
466,Waipawa,NZ,70.43,moderate rain,-41.4122,175.5153,Tora Coastal Walk
467,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
469,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
470,Karratha,AU,82.87,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
471,Pemangkat,ID,75.92,light rain,1.1667,108.9667,Ramah Kost KITA
472,Moerai,PF,80.29,scattered clouds,-22.4333,-151.3333,Le Manotel
475,Gambela,ET,80.96,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
476,Cuzama,MX,85.96,few clouds,20.7333,-89.3167,"Restaurant Y Hotel ""Santa Maria"""
478,Mahebourg,MU,79.25,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
479,Mabaruma,GY,76.62,few clouds,8.2,-59.7833,Monty Brooms Guest House
480,Saint-Pierre,RE,82.04,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
481,Kaeo,NZ,74.32,overcast clouds,-35.1,173.7833,Bushido Lodge
482,Puerto Baquerizo Moreno,EC,77.99,light rain,-0.9,-89.6,Hotel los Algarrobos
483,Pochutla,MX,85.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
484,Bull Savanna,JM,76.68,few clouds,17.8868,-77.5902,Big Red's
489,Cradock,ZA,71.62,overcast clouds,-32.1642,25.6192,Die Hoekhuis
493,Am Timan,TD,75.15,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
497,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
506,Karwar,IN,71.89,scattered clouds,14.8,74.1333,Netalco Connects
507,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
512,Beira,MZ,78.89,clear sky,-19.8436,34.8389,Beira Terrace Hotel
513,Cape Coast,GH,79.57,clear sky,5.1053,-1.2466,Samrit Hotel
514,Boa Vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
517,Mulege,MX,74.84,broken clouds,26.8833,-111.9833,Casa Granada
520,Biak,ID,76.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
531,Nautla,MX,74.34,few clouds,20.2167,-96.7833,Casa Blanca
532,Santa Maria,BR,88.9,clear sky,-29.6842,-53.8069,Hotel Morotin
535,Barabai,ID,73.8,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
536,Moyale,KE,73.27,overcast clouds,3.5167,39.0584,La Tahzan Guest House
543,Limot,PH,73.26,overcast clouds,7.0405,126.2727,Buso Hot Spring
544,Sola,VU,81.28,moderate rain,-13.8833,167.55,Leumerus Bungalows
551,Honiara,SB,82.98,overcast clouds,-9.4333,159.95,Heritage Park Hotel
552,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
553,Santa Luzia,BR,79.88,thunderstorm,-19.7697,-43.8514,Pousada Chao Earth
554,Limbang,MY,80.91,broken clouds,4.75,115.0,Purnama Hotel
557,Loandjili,CG,80.71,few clouds,-4.7561,11.8578,Résidence ARCHANGE
558,Sungairaya,ID,76.17,moderate rain,0.7,108.9,Mess P.Milu
559,Praya,CV,73.94,overcast clouds,14.9215,-23.5087,LT Aparthotel
560,Santarem,BR,82.53,few clouds,-2.4431,-54.7083,Hotel Imperador
564,Point Pedro,LK,75.56,few clouds,9.8167,80.2333,Gtr homes
567,Bandarbeyla,SO,76.08,broken clouds,9.4942,50.8122,JABIR HOTEL
569,Bayonet Point,US,73.81,scattered clouds,28.3267,-82.6834,"Holiday Inn Express & Suites Port Richey, an IHG Hotel"
576,Tarakan,ID,76.5,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
577,Lima,PE,75.45,clear sky,-12.0432,-77.0282,Hotel Kamana
582,San Isidro,PE,76.59,clear sky,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
584,Phanom Sarakham,TH,82.18,clear sky,13.7479,101.3553,SC Resort
589,Iquique,CL,73.44,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
592,Viedma,AR,81.97,few clouds,-40.8135,-62.9967,Hotel Cristal
597,Jacksonville Beach,US,70.07,few clouds,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
598,Singaraja,ID,77.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
599,Palora,EC,71.58,overcast clouds,-1.7,-77.9333,Rancho grande
602,Manokwari,ID,77.59,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
603,Grand Gaube,MU,79.38,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
607,Tambun,ID,80.49,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
608,Kieta,PG,82.36,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
613,Ranong,TH,77.23,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
618,Calderitas,MX,80.71,scattered clouds,18.55,-88.25,Hotel Hacienda Campestre
620,Matadi,CD,75.06,light rain,-5.8167,13.45,Hotel Vivi Palace
627,Finschhafen,PG,80.2,moderate rain,-6.6024,147.8681,Cossam Guest House
631,Sao Felix Do Xingu,BR,73.85,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
632,Jacareacanga,BR,76.28,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
638,Neiafu,TO,83.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
639,Rawson,AR,79.11,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
643,Maragogi,BR,79.63,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
644,Christchurch,NZ,76.32,light rain,-43.5333,172.6333,The George
645,Areia Branca,BR,86.2,few clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
647,Bang Saphan,TH,72.63,broken clouds,11.2126,99.5117,Ladawan Boutique Hotel
656,Garissa,KE,79.9,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
657,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
658,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
661,Matara,LK,70.83,clear sky,5.9485,80.5353,Amaloh Boutique Resort
664,Mayumba,GA,77.81,light rain,-3.432,10.6554,LIKWALE LODGE
666,Rio Cuarto,AR,89.37,broken clouds,-33.1307,-64.3499,Hotel Menossi
670,Quechultenango,MX,81.99,few clouds,17.4167,-99.2167,Baños publicos y casa de hospedaje popolutla
672,Salta,AR,82.69,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
674,Cockburn Town,TC,75.27,clear sky,21.4612,-71.1419,Osprey Beach Hotel
680,Paita,PE,84.76,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
683,Sinnamary,GF,77.4,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
687,Tumaco,CO,78.67,light rain,1.7986,-78.8156,Dafneruben
688,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
689,Salinopolis,BR,79.59,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
692,Trairi,BR,80.1,overcast clouds,-3.2778,-39.2689,janelas do mar
693,Kingsville,US,77.25,few clouds,27.5159,-97.8561,Econo Lodge Kingsville
695,Pedro Ii,BR,77.83,broken clouds,-4.4247,-41.4586,Opala Hotel
696,Luanda,AO,76.53,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
697,Vila Do Maio,CV,74.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
704,Pontianak,ID,75.18,moderate rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
706,Hambantota,LK,73.74,few clouds,6.1241,81.1185,Bungalow 63
707,Huarmey,PE,74.37,overcast clouds,-10.0681,-78.1522,Hotel Miramar
710,Mattru,SL,73.85,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
717,Bacabal,BR,79.41,moderate rain,-4.2917,-44.7917,Rancho Sol Nascente
721,Elesbao Veloso,BR,80.38,broken clouds,-6.2019,-42.1403,Pousada Paraiso
723,Necochea,AR,73.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
724,Kapoeta,SS,84.25,overcast clouds,4.7717,33.5903,Eastgate Hotel
