City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Platanos,GR,37.6667,21.6167,51.08,88,100,10.4,overcast clouds
111,Hasaki,JP,35.7333,140.8333,32.4,45,0,23.17,clear sky
112,Airai,TL,-8.9266,125.4092,59.23,83,80,2.98,broken clouds
113,Namatanai,PG,-3.6667,152.4333,78.64,84,100,5.28,light rain
114,Leningradskiy,RU,69.3833,178.4167,-12.05,94,44,11.16,scattered clouds
115,Dunedin,NZ,-45.8742,170.5036,65.28,72,100,12.1,light rain
116,Tyukalinsk,RU,55.8732,72.1967,5.94,100,100,5.53,overcast clouds
117,Mao,ES,39.8885,4.2658,52.36,71,20,10.36,few clouds
118,Severo-Kurilsk,RU,50.6789,156.125,26.85,79,78,10.54,broken clouds
119,Port Elizabeth,ZA,-33.918,25.5701,77.29,78,0,2.3,clear sky
120,Saint George,US,37.1041,-113.5841,54.63,23,0,3.0,clear sky
121,Bredasdorp,ZA,-34.5322,20.0403,74.8,78,4,2.3,clear sky
122,Esperance,AU,-33.8667,121.9,60.57,69,44,13.73,scattered clouds
123,Victoria,HK,22.2855,114.1577,61.25,93,100,3.0,overcast clouds
124,Ixtapa,MX,20.7,-105.2,78.03,53,0,11.5,clear sky
125,Omboue,GA,-1.5746,9.2618,78.31,88,60,6.98,moderate rain
126,Dingle,PH,10.9995,122.6711,73.27,94,81,7.67,broken clouds
127,Khasan,RU,42.4308,130.6434,17.51,58,1,19.1,clear sky
128,Erenhot,CN,43.6475,111.9767,-0.53,89,3,5.57,clear sky
129,Toora-Khem,RU,52.4675,96.11,-23.28,100,91,0.78,overcast clouds
130,Seoul,KR,37.5683,126.9778,26.11,86,40,3.44,mist
131,Carnarvon,AU,-24.8667,113.6333,73.47,88,40,8.05,scattered clouds
132,Pangnirtung,CA,66.1451,-65.7125,-27.4,75,20,0.0,few clouds
133,Aksum,ET,14.1245,38.7244,58.24,71,28,3.36,scattered clouds
134,Boffa,GN,10.1667,-14.0333,74.19,84,13,3.13,few clouds
135,Benjamin Aceval,PY,-24.9667,-57.5667,102.6,15,52,4.14,broken clouds
136,Poum,NC,-20.2333,164.0167,81.12,76,64,10.11,broken clouds
137,Lompoc,US,34.6391,-120.4579,68.68,25,0,13.8,clear sky
138,Bardsir,IR,29.9227,56.5743,41.05,76,7,11.81,clear sky
139,Sechura,PE,-5.5569,-80.8222,82.38,54,13,15.55,few clouds
140,Mehamn,NO,71.0357,27.8492,23.18,68,0,23.02,clear sky
141,Sakakah,SA,29.9697,40.2064,45.97,47,0,7.7,clear sky
142,Mayo,US,38.8876,-76.5119,44.22,63,0,5.01,haze
143,Kabanjahe,ID,3.1001,98.4908,64.42,97,92,3.06,overcast clouds
144,Tres Picos,MX,15.8667,-93.5333,85.35,54,4,7.99,clear sky
